date,positive 
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,2
9,2
10,2
11,2
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,5
22,6
23,6
24,7
25,7
26,7
27,7
28,8
29,8
30,13
31,13
32,14
33,16
34,17
35,18
36,20
37,24
38,28
39,30
40,35
41,40
42,45
43,50
44,51
45,54
46,57
47,60
48,61
49,62
50,63
51,63
52,66
53,67
54,67
55,67
56,67
57,67
58,75
59,79
60,80
61,83
62,83
63,89
64,91
65,93
66,93
67,94
68,95
69,96
70,97
71,97
72,97
73,97
74,97
75,97
76,97
77,98
78,98
79,98
80,98
81,98
82,99
83,99
84,100
85,100
86,101
87,101
88,102
89,102
90,102
91,103
92,103
93,103
94,103
95,103
96,103
97,102
98,102
99,102
100,102
101,102
102,102
103,102
104,102
105,102
106,102
107,102
108,102
109,102
110,102
111,102
112,102
113,102
114,102
115,102
116,102
117,102
118,102
119,103
120,104
121,104
122,104
123,104
124,104
125,104
126,104
127,104
128,104
129,104
130,104
131,106
132,106
133,106
134,106
135,106
136,107
137,108
138,108
139,108
140,111
141,113
142,116
143,118
144,122
145,123
146,126
147,128
148,133
149,139
150,145
151,155
152,161
153,167
154,176
155,189
156,196
157,201
158,208
159,221
160,232
161,247
162,255
163,266
164,278
165,295
166,313
167,331
168,352
169,361
170,375
171,379
172,396
173,421
174,438
175,450
176,463
177,472
178,485
179,502
180,517
181,525
182,549
183,572
184,583
185,600
186,611
187,652
188,657
189,663
190,678
191,737
192,748
193,753
194,762
195,770
196,781
197,788
198,797
199,803
200,810
201,816
202,816
203,824
204,832
205,837
206,844
207,849
208,851
209,854
210,859
211,861
212,869
213,870
214,872
215,875
216,882
217,886
218,888
219,890
220,893
221,894
222,894
223,895
224,897
225,897
226,897
227,897
228,898
229,898
230,899
231,904
232,904
233,904
234,904
235,904
236,905
237,905
238,905
239,905
240,905
241,905
242,905
243,905
244,905
245,907
246,907
247,907
248,907
249,907
250,907
251,907
252,907
253,907
254,907
255,907
256,907
257,907
258,907
259,907
260,907
261,907
262,907
263,907
264,907
265,907
266,907
267,907
268,907
269,907
270,907
271,907
272,907
273,907
274,907
275,907
276,907
277,907
278,908
279,908
280,908
281,908
282,908
283,908
284,908
285,908
286,908
287,908
288,908
289,908
290,908
291,908
292,908
293,908
294,908
295,908
296,908
297,908
298,908
299,908
300,908
301,908
302,908
303,908
